,language,overview,release_date,runtime,title,vote_average,vote_count,company,country,director,genre,star,writer
0,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",2009-12-10,162.0,Avatar,7.2,11800,Twentieth Century Fox Film Corporation,UK,James Cameron,Action,Sam Worthington,James Cameron
1,en,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",2007-05-19,169.0,Pirates of the Caribbean: At World's End,6.9,4500,Walt Disney Pictures,USA,Gore Verbinski,Action,Johnny Depp,Ted Elliott
2,en,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",2015-10-26,148.0,Spectre,6.3,4466,B24,UK,Sam Mendes,Action,Daniel Craig,John Logan
3,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",2012-07-16,165.0,The Dark Knight Rises,7.6,9106,Warner Bros.,UK,Christopher Nolan,Action,Christian Bale,Jonathan Nolan
4,en,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",2012-03-07,132.0,John Carter,6.1,2124,Walt Disney Pictures,USA,Andrew Stanton,Action,Taylor Kitsch,Andrew Stanton
5,en,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",2007-05-01,139.0,Spider-Man 3,5.9,3576,Columbia Pictures,USA,Sam Raimi,Action,Tobey Maguire,Sam Raimi
6,en,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",2010-11-24,100.0,Tangled,7.4,3330,Walt Disney Animation Studios,USA,Nathan Greno,Animation,Mandy Moore,Dan Fogelman
7,en,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",2015-04-22,141.0,Avengers: Age of Ultron,7.3,6767,Marvel Studios,USA,Joss Whedon,Action,Robert Downey Jr.,Joss Whedon
8,en,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",2009-07-07,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,Warner Bros.,UK,David Yates,Adventure,Daniel Radcliffe,Steve Kloves
9,en,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",2016-03-23,151.0,Batman v Superman: Dawn of Justice,5.7,7004,Warner Bros.,USA,Zack Snyder,Action,Ben Affleck,Chris Terrio
10,en,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",2006-06-28,154.0,Superman Returns,5.4,1400,Warner Bros.,USA,Bryan Singer,Action,Brandon Routh,Michael Dougherty
11,en,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",2008-10-30,106.0,Quantum of Solace,6.1,2965,Metro-Goldwyn-Mayer (MGM),UK,Marc Forster,Action,Daniel Craig,Paul Haggis
12,en,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",2006-06-20,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,Walt Disney Pictures,USA,Gore Verbinski,Action,Johnny Depp,Ted Elliott
13,en,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",2013-07-03,149.0,The Lone Ranger,5.9,2311,Walt Disney Pictures,USA,Gore Verbinski,Action,Johnny Depp,Justin Haythe
14,en,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",2013-06-12,143.0,Man of Steel,6.5,6359,Warner Bros.,USA,Zack Snyder,Action,Henry Cavill,David S. Goyer
15,en,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",2008-05-15,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,Walt Disney Pictures,USA,Andrew Adamson,Action,Ben Barnes,Andrew Adamson
16,en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012-04-25,143.0,The Avengers,7.4,11776,Warner Bros.,USA,Jeremiah S. Chechik,Action,Ralph Fiennes,Sydney Newman
17,en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012-04-25,143.0,The Avengers,7.4,11776,Marvel Studios,USA,Joss Whedon,Action,Robert Downey Jr.,Joss Whedon
18,en,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",2011-05-14,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Walt Disney Pictures,USA,Rob Marshall,Action,Johnny Depp,Ted Elliott
19,en,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",2012-05-23,106.0,Men in Black 3,6.2,4160,Columbia Pictures,USA,Barry Sonnenfeld,Action,Will Smith,Etan Cohen
20,en,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",2014-12-10,144.0,The Hobbit: The Battle of the Five Armies,7.1,4760,New Line Cinema,New Zealand,Peter Jackson,Adventure,Ian McKellen,Fran Walsh
21,en,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",2012-06-27,136.0,The Amazing Spider-Man,6.5,6586,Columbia Pictures,USA,Marc Webb,Action,Andrew Garfield,James Vanderbilt
